feature,vif
game_age_days,3.8949194104281584
dlc_count,1.0066176402497409
achievements,1.0231076270093007
is_multiplayer,2.668281691396129
n_categories,5.925337810607511
n_genres,4.816019938151305
n_tags,3.1000962002715133
review_count,18.18148923211614
metacritic_score,1.2700127145782119
estimated_owners,1.053123145612623
windows,25.531873155144687
mac,1.8641060578759194
linux,1.7226329148791213
no_sup_lang,3.6580855295794352
n_full_audio_lang,3.1388961848400823
price,1.4166030628799504
violence_score,1.4522073571449978
