feature,coefficient,best_alpha,train_r2,test_r2
game_age_days,0.00957085693293354,0.11268982964195422,0.5222338720624808,0.43419743685363077
dlc_count,0.0,0.11268982964195422,0.5222338720624808,0.43419743685363077
achievements,0.9038352885624067,0.11268982964195422,0.5222338720624808,0.43419743685363077
n_genres,-0.10745222673663957,0.11268982964195422,0.5222338720624808,0.43419743685363077
n_tags,0.3101698406641747,0.11268982964195422,0.5222338720624808,0.43419743685363077
metacritic_score,0.6192507020819794,0.11268982964195422,0.5222338720624808,0.43419743685363077
no_sup_lang,0.33823626549381164,0.11268982964195422,0.5222338720624808,0.43419743685363077
n_full_audio_lang,0.23184934603490204,0.11268982964195422,0.5222338720624808,0.43419743685363077
price,0.6514766058853944,0.11268982964195422,0.5222338720624808,0.43419743685363077
violence_score,0.0,0.11268982964195422,0.5222338720624808,0.43419743685363077
