Variable,Coefficient,Std Error,t-value,p-value
const,-5.850014276837548,0.3774097634810005,-15.500431739975504,8.458388676327382e-50
achievements,0.010421846561177226,0.0009059474013853288,11.503809763393182,3.2420274341951277e-29
n_tags,0.09665081615655988,0.012721571505385859,7.597395975461159,5.80331967896477e-14
metacritic_score,0.06384823963162634,0.005228506331868349,12.211563987684963,1.5978892680085184e-32
no_sup_lang,0.08342838110152782,0.011610420919947337,7.185646556378789,1.1317843056115385e-12
n_full_audio_lang,0.09584437117402253,0.017475061064537674,5.484637267936106,4.986101938767469e-08
price,0.0537142453403842,0.003519410477003189,15.262284888724428,1.8875031378845826e-48
