Variable,Coefficient,Std Error,t-value,p-value
const,0.16546979251908137,0.012649830168938715,13.080791624016232,3.3176532874781515e-38
metacritic_score,0.006957803684024295,0.00018780612803975222,37.047799007663706,1.2649135562970228e-253
n_tags,0.006030899858791327,0.0003591792660193331,16.790779505815657,6.630506029385557e-61
price,-0.0009855506323467832,0.00016857992280253087,-5.846192215316326,5.492459420421847e-09
